id,name,category,rarity,tier,value_gold,acquired_via,set_id,needs_flavor,file
briar_shortbow,Briar Shortbow,weapon,uncommon,2,65,quest,,yes,weapons/briar_shortbow.tres
dragonfang,Dragonfang,weapon,legendary,7,1500,drop,dragon_hoard,,weapons/dragonfang.tres
ember_axe,Ember Axe,weapon,rare,4,260,drop,,,weapons/ember_axe.tres
frost_saber,Frost Saber,weapon,rare,4,210,drop,,,weapons/frost_saber.tres
iron_sword,Iron Sword,weapon,common,2,18,vendor,,,weapons/iron_sword.tres
roan_woodbow,Roan Woodbow,weapon,common,1,10,vendor,,yes,weapons/roan_woodbow.tres
rusty_sword,Rusty Sword,weapon,common,1,4,chest,,,weapons/rusty_sword.tres
shadow_dagger,Shadow Dagger,weapon,epic,5,420,drop,,,weapons/shadow_dagger.tres
steel_blade,Steel Blade,weapon,uncommon,3,55,vendor,,,weapons/steel_blade.tres
chainmail,Chainmail,armor,uncommon,3,80,vendor,,,armor/chainmail.tres
cloth,Cloth Tunic,armor,common,1,6,vendor,,,armor/cloth.tres
dragonscale,Dragonscale,armor,legendary,7,2200,drop,dragon_hoard,,armor/dragonscale.tres
emberforge,Emberforge Plate,armor,epic,5,620,drop,,,armor/emberforge.tres
leather,Leather Vest,armor,common,2,24,vendor,,,armor/leather.tres
mossbound_buckler,Mossbound Buckler,armor,common,1,18,craft,,yes,armor/mossbound_buckler.tres
steel_plate,Steel Plate,armor,rare,4,280,chest,,,armor/steel_plate.tres
crit_amulet,Hawk's Amulet,relic,rare,3,190,drop,,,relics/crit_amulet.tres
guardian_core,Guardian's Core,relic,legendary,6,1800,quest,,,relics/guardian_core.tres
ring_focus,Ring of Focus,relic,uncommon,2,85,vendor,,,relics/ring_focus.tres
talisman_oak,Oak Talisman,relic,uncommon,2,75,vendor,,,relics/talisman_oak.tres
hp_potion_l,Greater Health Potion,consumable,uncommon,2,40,vendor,,,consumables/hp_potion_l.tres
hp_potion_s,Lesser Health Potion,consumable,common,1,12,vendor,,,consumables/hp_potion_s.tres
mp_potion,Mana Draught,consumable,common,2,15,vendor,,,consumables/mp_potion.tres
crystal_shard,Crystal Shard,material,uncommon,2,35,drop,,,materials/crystal_shard.tres
goblin_ear,Goblin Ear,material,common,1,3,drop,,,materials/goblin_ear.tres
warlord_horn,Warlord's Horn,material,epic,5,250,drop,,,materials/warlord_horn.tres
wolf_fang,Wolf Fang,material,common,1,6,drop,,,materials/wolf_fang.tres
wolf_heart,Wolf Heart,material,rare,2,32,drop,,yes,materials/wolf_heart.tres
wolf_pelt,Wolf Pelt,material,common,1,8,drop,,,materials/wolf_pelt.tres
